bookID,isbn,title,author,publicationdate,Genre,CoveimageUrl,totalCopies,availabeCopies
00000000-0000-0000-0000-000000002649,3dcac1f9-8e0d-4602-b202-b3dac64cda73,"The Hampstead mystery,","rees, arthur j. (arthur john), watson, john reay",1916-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:hampsteadmystery00wats:hampsteadmystery00wats_0007/full/pct:25.0/0/default.jpg#h=900&w=558,5,5
00000000-0000-0000-0000-0000000026ad,fe9c5c3f-8f0b-402c-9a46-3634cba763d1,"The Terriford mystery,","lowndes, marie belloc",1924-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:terrifordmystery00lown:terrifordmystery00lown_0007/full/pct:25.0/0/default.jpg#h=897&w=549,5,5
00000000-0000-0000-0000-000000002711,9314a4ed-d355-4636-9ca3-b5fdec6878ab,A mountain mystery;,"lynch, lawrence l.",1892-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mountainmystery00lync:mountainmystery00lync_0011/full/pct:25.0/0/default.jpg#h=877&w=521,5,5
00000000-0000-0000-0000-000000002775,817a989f-a632-43b7-8134-36f7820f7ad9,Baroque : a mystery,"vance, louis joseph, e.p. dutton (firm)",1923-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:baroquemystery00vanc:baroquemystery00vanc_0013/full/pct:25.0/0/default.jpg#h=861&w=537,5,5
00000000-0000-0000-0000-0000000027d9,e2e68dad-6b2f-4d34-9c82-8b173404faad,"Camp fire girls on the ice; or, The mystery of a winter cabin,","garis, howard roger",1913-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdc:00020659567:00020659567_0001/full/pct:25.0/0/default.jpg,5,5
00000000-0000-0000-0000-00000000283d,1ad08a52-43a8-4884-9bc4-0ec2d4709f5c,A Mediterranean mystery,"wynne, fred e.",1923-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mediterraneanmys00wynn:mediterraneanmys00wynn_0007/full/pct:25.0/0/default.jpg#h=871&w=542,5,5
00000000-0000-0000-0000-0000000028a1,4c38ec55-db67-4752-8819-09187e89d9ed,"From ""Hindu growth"" to productivity surge the mystery of the Indian growth transition","rodrik, dani, national bureau of economic research, subramanian, arvind",2004-12-31,Default,https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/05/61/57/38/2005615738/2005615738.gif,5,5
00000000-0000-0000-0000-000000002905,2cc862e7-00fb-4022-9c22-1e51e72b5ee2,Ancient mysteries described;,"hone, william",1823-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:ancientmysteries00hone:ancientmysteries00hone_0009/full/pct:25.0/0/default.jpg#h=985&w=551,5,5
00000000-0000-0000-0000-000000002969,37c5ed7c-2495-4b4d-87db-a3fbd0a06b71,The vestibule limited mystery.,"robertson, alexander",1891-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:vestibulelimited00robe:vestibulelimited00robe_0011/full/pct:25.0/0/default.jpg#h=900&w=574,5,5
00000000-0000-0000-0000-0000000029cd,ba471bee-4c65-4bd4-80b6-714d9fd4e08a,"Mystery mountain,","bowman, james cloyd",1940-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mysterymountain00bowm:mysterymountain00bowm_0009/full/pct:25.0/0/default.jpg#h=971&w=643,5,5
00000000-0000-0000-0000-000000002a31,71e277b3-791f-4b26-b1da-ad52d77047df,The mystery;,"young, john",1856-12-31,Default,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:mystery00youn:mystery00youn_0007/full/pct:12.5/0/default.jpg#h=556&w=332,5,5
00000000-0000-0000-0000-000000002a95,bd697184-555f-49fc-b0cf-2657f1fdc303,The Charing Cross mystery.,"fletcher, j. s. (joseph smith)",1923-12-31,Mystery,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:charingcrossmyst00flet:charingcrossmyst00flet_0007/full/pct:25.0/0/default.jpg#h=835&w=548,5,5
00000000-0000-0000-0000-000000002af9,3854ac80-6af0-4b8e-9695-0347754197c2,A tale of mystery,"holcroft, thomas, busby, thomas",2025-12-31,Default,https://tile.loc.gov/image-services/iiif/public:music:musschatz-20160:0001/full/pct:12.5/0/default.jpg,5,5
00000000-0000-0000-0000-000000002b5d,f515ffd2-1921-4468-b2c8-63a51ac45223,The High Luminosity Large Hadron Collider : the new machine for illuminating the mysteries of universe,"brüning, o., rossi, lucio",2015-12-31,Default,https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/20/71/97/30/2020719730/2020719730.gif,5,5
